,latitude,longitude,state,station,month,air temperature - dry bulb (°c),geometry
139,-23.95194444,-46.53055554,SP,BRAGANCA PAULISTA,5,18.392425411623595,POINT (-46.53055554 -23.95194444)
1785,-21.106502,-44.250928,MG,SAO JOAO DEL REI,5,17.937193089041724,POINT (-44.250928 -21.106502)
2385,-20.173278,-44.874944,MG,DIVINOPOLIS,5,20.985752688172045,POINT (-44.874944 -20.173278)
441,-23.05,-43.6,RJ,MARAMBAIA,5,21.817793192892598,POINT (-43.6 -23.05)
987,-22.415062,-46.805292,SP,ITAPIRA,5,19.54410741448871,POINT (-46.805292 -22.415062)
3129,-18.69527777,-40.39055555,ES,NOVA VENECIA,5,22.35672043010753,POINT (-40.39055555 -18.69527777)
163,-23.85138888,-48.16444444,SP,SAO MIGUEL ARCANJO,5,17.12252433324514,POINT (-48.16444444 -23.85138888)
2301,-20.27083332,-40.30583333,ES,VITORIA,5,22.763286570483782,POINT (-40.30583333 -20.27083332)
2313,-20.26666666,-40.3,ES,VITORIA,5,22.88067450243631,POINT (-40.3 -20.26666666)
1299,-22.04166666,-41.05166666,RJ,CAMPOS DOS GOYTACAZES - SAO TOME,5,23.75450268817206,POINT (-41.05166666 -22.04166666)
269,-23.52388888,-46.86944443,SP,BARUERI,5,16.654435483870984,POINT (-46.86944443 -23.52388888)
2865,-19.40722222,-40.53972221,ES,MARILANDIA,5,22.198608683766622,POINT (-40.53972221 -19.40722222)
963,-22.44888888,-42.98722221,RJ,TERESOPOLIS,5,15.841936897564555,POINT (-42.98722221 -22.44888888)
1857,-21.085675,-49.920388,SP,JOSE BONIFACIO,5,21.390742864539302,POINT (-49.920388 -21.085675)
405,-23.10166666,-48.9411111,SP,AVARE,5,18.920416418208333,POINT (-48.9411111 -23.10166666)
3285,-17.798799,-40.249933,MG,SERRA DOS AIMORES,5,22.96149193548387,POINT (-40.249933 -17.798799)
609,-22.8711111,-42.60916666,RJ,SAQUAREMA,5,21.583433882362957,POINT (-42.60916666 -22.8711111)
3491,-16.57555554,-41.48527777,MG,ITAOBIM,5,24.128095844305953,POINT (-41.48527777 -16.57555554)
807,-22.68888888,-45.00555555,SP,CACHOEIRA PAULISTA,5,18.506300796562044,POINT (-45.00555555 -22.68888888)
3153,-18.676198,-39.864051,ES,SAO MATEUS,5,23.528293010752673,POINT (-39.864051 -18.676198)
1869,-21.08555555,-49.92055554,SP,JOSE BONIFACIO,5,20.629404652270615,POINT (-49.92055554 -21.08555555)
3451,-16.71666666,-43.86666666,MG,MONTES CLAROS,5,22.046332481496446,POINT (-43.86666666 -16.71666666)
2853,-19.455,-44.17333332,MG,SETE LAGOAS,5,19.48158602150537,POINT (-44.17333332 -19.455)
1881,-20.94916666,-48.48999999,SP,BEBDOURO,5,22.60997379276022,POINT (-48.48999999 -20.94916666)
2289,-20.271094,-40.306069,ES,VITORIA,5,24.65363633346611,POINT (-40.306069 -20.271094)
2013,-20.71472222,-44.86444444,MG,OLIVEIRA,5,18.14193548387097,POINT (-44.86444444 -20.71472222)
3309,-17.78472221,-46.11916666,MG,JOAO PINHEIRO,5,21.079010532076424,POINT (-46.11916666 -17.78472221)
2397,-20.17305554,-44.87472221,MG,DIVINOPOLIS,5,18.96935483870967,POINT (-44.87472221 -20.17305554)
2349,-20.26333333,-42.18277777,MG,MANHUACU,5,17.562766572579438,POINT (-42.18277777 -20.26333333)
3141,-18.695265,-40.390572,ES,NOVA VENECIA,5,24.644354838709656,POINT (-40.390572 -18.695265)
2997,-18.830354,-41.977007,MG,GOVERNADOR VALADARES,5,22.866129032258073,POINT (-41.977007 -18.830354)
2241,-20.385423,-41.189934,ES,VENDA NOVA DO IMIGRANTE,5,20.118951612903217,POINT (-41.189934 -20.385423)
951,-22.45,-44.45,RJ,RESENDE,5,19.432837862506666,POINT (-44.45 -22.45)
2277,-20.35944444,-47.77499999,SP,ITUVERAVA,5,19.762332053935943,POINT (-47.77499999 -20.35944444)
7,-84.0,-79.49416666,SP,CRIOSFERA,5,-36.792659958733275,POINT (-79.49416666 -84)
1821,-21.10111111,-41.03888888,ES,PRES. KENNEDY,5,22.31745877495498,POINT (-41.03888888 -21.10111111)
3201,-18.29138888,-40.73638888,ES,ECOPORANGA,5,23.68179583599406,POINT (-40.73638888 -18.29138888)
